date,close
2025-03-07,4.636051
2025-03-10,4.633156
2025-03-11,4.583463
2025-03-12,4.593594
2025-03-13,4.621095
2025-03-14,4.707457
2025-03-17,4.727721
2025-03-18,4.813118
2025-03-19,4.756186
2025-03-20,4.765353
2025-03-21,4.761011
2025-03-24,4.773556
2025-03-25,4.785617
2025-03-26,4.755222
2025-03-27,4.668860
2025-03-28,4.710834
2025-03-31,4.670308
2025-04-01,4.824215
2025-04-02,4.786100
2025-04-03,4.406879
2025-04-04,4.303629
2025-04-07,4.148275
2025-04-08,4.219681
2025-04-09,4.008358
2025-04-10,4.185907
2025-04-11,4.157925
2025-04-14,4.276612
2025-04-15,4.362492
2025-04-16,4.388545
2025-04-17,4.363456
2025-04-22,4.445476
2025-04-23,4.529426
2025-04-24,4.100993
2025-04-25,4.228365
2025-04-28,4.202312
2025-04-29,4.211960
2025-04-30,4.235120
2025-05-02,4.284784
2025-05-05,4.304260
2025-05-06,4.317894
2025-05-07,4.313025
2025-05-08,4.335423
2025-05-09,4.359768
2025-05-12,4.531159
2025-05-13,4.511683
2025-05-14,4.453254
2025-05-15,4.492207
2025-05-16,4.495128
2025-05-19,4.506814
2025-05-20,4.556478
2025-05-21,4.599326
2025-05-22,4.629514
2025-05-23,4.577902
2025-05-26,4.626593
2025-05-27,4.647042
2025-05-28,4.624645
2025-05-30,4.456176
2025-06-02,4.494153
2025-06-03,4.529211
2025-06-04,4.618802
2025-06-05,4.597378
2025-06-06,4.634383
2025-06-09,4.617828
2025-06-10,4.561347
2025-06-11,4.497076
2025-06-12,4.454227
2025-06-13,4.372427
2025-06-16,4.483442
2025-06-17,4.385087
2025-06-18,4.378270
2025-06-19,4.303287
2025-06-23,4.316920
2025-06-24,4.389956
2025-06-25,4.331527
2025-06-26,4.239015
2025-06-27,4.274072
2025-06-30,4.290627
2025-07-01,4.282836
2025-07-02,4.290627
2025-07-03,4.284784
2025-07-04,4.280889
2025-07-07,4.296470
2025-07-08,4.307181
2025-07-09,4.226355
2025-07-10,4.249726
2025-07-11,4.158188
2025-07-14,4.163057
2025-07-15,4.013089
2025-07-16,3.991666
2025-07-17,4.047174
2025-07-18,4.024776
2025-07-21,3.996535
2025-07-22,3.999456
2025-07-23,3.696600
2025-07-24,3.651804
2025-07-25,3.604087
2025-07-28,3.600150
2025-07-29,3.365849
2025-07-30,3.538129
2025-07-31,3.532223
2025-08-01,3.416056
2025-08-04,3.478077
2025-08-05,3.464295
2025-08-06,3.459373
2025-08-07,3.465279
2025-08-08,3.475124
2025-08-11,3.477093
2025-08-12,3.507611
2025-08-13,3.524346
2025-08-14,3.500720
2025-08-15,3.557818
2025-08-18,3.536160
2025-08-19,3.589320
2025-08-20,3.568647
2025-08-21,3.563725
2025-08-22,3.627714
2025-08-25,3.654294
2025-08-26,3.614916
2025-08-27,3.652326
2025-08-28,3.612947
2025-08-29,3.621808
2025-09-01,3.644450
2025-09-02,3.589320
2025-09-03,3.693673
2025-09-04,3.846263
2025-09-05,3.821652
2025-09-08,3.824605
2025-09-09,3.837403
2025-09-10,3.841341
2025-09-11,3.849216
2025-09-12,3.769476
2025-09-15,3.786211
2025-09-16,3.775383
2025-09-17,3.890563
2025-09-18,3.968335
2025-09-19,3.945693
2025-09-22,3.947662
2025-09-23,4.004760
2025-09-24,3.954553
2025-09-25,3.937817
2025-09-26,3.901393
2025-09-29,3.914191
2025-09-30,4.015589
2025-10-01,4.034294
2025-10-02,4.065797
2025-10-03,4.082532
2025-10-06,4.152428
2025-10-07,4.186884
2025-10-08,4.317817
2025-10-09,4.375899
2025-10-10,4.469422
2025-10-13,4.415277
2025-10-14,4.592479
2025-10-15,4.693879
2025-10-16,4.812997
2025-10-17,4.800199
2025-10-20,4.795277
2025-10-21,4.765744
2025-10-22,4.659422
2025-10-23,5.164447
2025-10-24,5.251080
2025-10-27,5.401563
2025-10-28,6.528209
2025-10-29,6.245062
2025-10-30,6.114379
2025-10-31,5.805492
2025-11-03,6.090619
2025-11-04,5.892614
2025-11-05,5.872814
2025-11-06,5.886674
2025-11-07,5.793612
2025-11-10,5.797572
2025-11-11,5.853014
2025-11-12,5.932215
2025-11-13,5.918355
2025-11-14,5.771831
2025-11-17,5.720350
2025-11-18,5.587687
2025-11-19,5.197618
2025-11-20,5.148117
2025-11-21,5.078816
2025-11-24,5.144157
2025-11-25,5.175838
2025-11-26,5.171878
2025-11-27,5.201579
2025-11-28,5.189698
2025-12-01,5.225339
2025-12-02,5.259000
2025-12-03,5.223359
2025-12-04,5.257020
2025-12-05,5.173857
2025-12-08,5.225339
2025-12-09,5.300581
2025-12-10,5.253059
2025-12-11,5.352062
2025-12-12,5.217419
2025-12-15,5.225339
2025-12-16,5.225339
2025-12-17,5.260980
2025-12-18,5.375822
2025-12-19,5.403543
2025-12-22,5.447104
2025-12-23,5.462945
2025-12-29,5.522346
2025-12-30,5.516406
2026-01-02,5.468885
2026-01-05,5.508486
2026-01-07,5.710450
2026-01-08,5.518385
2026-01-09,5.544126
2026-01-12,5.526306
2026-01-13,5.536206
2026-01-14,5.581747
2026-01-15,5.767871
2026-01-16,5.651049
2026-01-19,5.583727
2026-01-20,5.490665
2026-01-21,5.437204
2026-01-22,5.502545
2026-01-23,5.645109
2026-01-26,5.724310
2026-01-27,5.823312
2026-01-28,5.605508
2026-01-29,5.104556
2026-01-30,5.369882
2026-02-02,5.559033
2026-02-03,5.590889
2026-02-04,5.734246
2026-02-05,5.774067
2026-02-06,5.857691
2026-02-09,5.939325
2026-02-10,5.947289
2026-02-11,6.044851
2026-02-12,5.805923
2026-02-13,5.841763
2026-02-16,5.935342
2026-02-17,5.989101
2026-02-18,6.232010
2026-02-19,6.321608
2026-02-20,6.395277
2026-02-23,6.387312
2026-02-24,6.295724
2026-02-25,6.393286
2026-02-26,6.204135
2026-02-27,6.455009
2026-03-02,6.799461
2026-03-03,6.685971
2026-03-04,7.000558
2026-03-05,6.628231
2026-03-06,6.674025
2026-03-09,6.658096
2026-03-10,6.683980
2026-03-11,6.801452
2026-03-12,7.106084
2026-03-13,7.171789
2026-03-16,7.454519
2026-03-17,7.430627
2026-03-18,7.299217
2026-03-19,7.068254
2026-03-20,6.885077
2026-03-23,6.871140
2026-03-24,7.008523
2026-03-25,7.267360
2026-03-26,7.199664
2026-03-27,6.835300
2026-03-30,6.908969
2026-03-31,6.765614
2026-04-01,7.076218
2026-04-02,7.317136
2026-04-07,7.442573
2026-04-08,7.984141
2026-04-09,8.019979
2026-04-10,7.998078
2026-04-13,8.579467
2026-04-14,8.700921
2026-04-15,8.493851
2026-04-16,8.553583
2026-04-17,8.607342
2026-04-20,8.898036
2026-04-21,8.792510
2026-04-22,8.471950
2026-04-23,9.009536
2026-04-24,8.906000
2026-04-27,9.276000
2026-04-28,9.410000
2026-04-29,10.310000
2026-04-30,10.605000
2026-05-04,11.390000
2026-05-05,11.425000
2026-05-06,11.345000
2026-05-07,10.545000
2026-05-08,10.945000
2026-05-11,11.390000
2026-05-12,11.085000
2026-05-13,11.920000
2026-05-15,11.905000
2026-05-18,11.730000
2026-05-19,11.585000
2026-05-20,11.735000
2026-05-21,12.080000
2026-05-22,13.255000
2026-05-25,13.065000
2026-05-26,13.835000
2026-05-27,13.460000
2026-05-28,13.200000
2026-05-29,12.580000
2026-06-01,13.320000
2026-06-02,14.370000
2026-06-03,14.685000
2026-06-04,13.935000
2026-06-05,13.090000
