window,day,S0,sigma,exact,MC,Fourier,QAE,QSVT,qae_queries,qae_err
83,112,5.853013515472412,0.7162249062357451,0.5853215569403334,0.5908412005425495,0.5853215405463194,0.5853958757512164,0.5852642367552487,61440,7.431881088304504e-05
84,113,5.932215213775635,0.7160598256455817,0.5931042027464695,0.5986969694125326,0.593104187563628,0.5931936704124607,0.5930520010162103,61440,8.946766599127187e-05
85,114,5.9183549880981445,0.7170340776475441,0.5925297986596404,0.5981187291301555,0.5925297831758536,0.5926121497981823,0.592442989915978,61440,8.235113854193621e-05
86,115,5.771831035614014,0.725494763654965,0.5847325722465818,0.5902614512860004,0.5847325559618276,0.5846477037547768,0.5843513065435938,61440,-8.486849180500133e-05
87,116,5.72035026550293,0.72792763310137,0.5814759530647542,0.5869778822293563,0.5814759274110519,0.5813853446633851,0.5810127496830297,61440,-9.060840136909665e-05
88,117,5.5876874923706055,0.7320492232655728,0.571232479999557,0.5766438646810068,0.5712324727477686,0.5711654221078802,0.5706379974028223,61440,-6.705789167671394e-05
89,118,5.19761848449707,0.7699720362985556,0.559114144350241,0.5645022388231103,0.5591142063326033,0.5590250285394642,0.5573025857706295,61440,-8.911581077675201e-05
90,119,5.1481170654296875,0.7698340402659776,0.5536891284589215,0.5590247436687209,0.5536891137054204,0.5536221963957092,0.5518994960706272,61440,-6.693206321228828e-05
91,120,5.078815937042236,0.7701166702367159,0.54643790038051,0.5517040419660068,0.5464378443463586,0.5463573722702767,0.5446629157482487,61440,-8.05281102332911e-05
92,121,5.1441569328308105,0.7633509479680122,0.5485649712332834,0.5538247050408274,0.5485649456454489,0.5484902721842175,0.546994979799112,61440,-7.469904906587388e-05
93,122,5.175837993621826,0.7614330638638684,0.5505450763756353,0.5558210164588728,0.5505450355211624,0.5504769542333598,0.5490299608000779,61440,-6.812214227547297e-05
94,123,5.171877861022949,0.7586125531349873,0.5480691054185715,0.5533172410004613,0.5480690445211692,0.5479838440564467,0.5466496475980628,61440,-8.526136212472224e-05
95,124,5.201578617095947,0.758503798262935,0.5511368441207989,0.5564141971200736,0.5511368444064074,0.5510523354781833,0.549712890944699,61440,-8.450864261555502e-05
96,125,5.189698219299316,0.7585696700349905,0.5499261997440121,0.555192056000988,0.5499262676382481,0.5498568531937954,0.5485032894674974,61440,-6.93465502167312e-05
97,126,5.225338935852051,0.7581652292353261,0.5534051971939109,0.5587037757232809,0.553405121768584,0.5533212133756226,0.5519861698275796,61440,-8.398381828833568e-05
98,127,5.258999824523926,0.7541135352029394,0.5539690249998976,0.5592670632778789,0.5539690173152478,0.5538960335955233,0.5526780479033686,61440,-7.299140437433405e-05
99,128,5.223358631134033,0.6915945659193901,0.5042571212958605,0.5089518478576878,0.50425712895969,0.5043207011497165,0.5049630653263547,61440,6.35798538559662e-05
100,129,5.257019519805908,0.6900893077212418,0.5063940323559586,0.5111065483350848,0.5063940729349776,0.5064700923893511,0.5071499449698539,61440,7.60600333925554e-05
101,130,5.17385721206665,0.6861132928427319,0.49549093857467075,0.500096537266483,0.49549098033724853,0.4955524675207052,0.49635233009271074,61440,6.152894603445036e-05
